,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
EMPRESA,VINOS,MARCA,DESCRIPCION,COSTO UNITARIO,PRECIO DE VENTA ,PRECIO DE VENTA 25%,STOCK,PROMOCION,TOTAL VENTA,NRO BOTELLAS VENDIDAS,STOCK ACTUAL,,,,,,,
,HIELO,DEL POLO 4KG,,S/ 0.00,S/ 6.00,,0,,,,0.00,S/0.00,,,,,,
,HIELO,NEVADA 2KG,,S/ 2.38,S/ 4.00,,5,,,,5.00,S/11.90,,,,,,
,AGUA,VIDA DE 500 ML,,S/ 0.68,S/ 1.00,,48,,,,48.00,S/32.64,,,,,,
,AGUA,AGUA CIELO SIN GAS 625ML,,0.77,S/ 1.20,,148,,,,148.00,S/113.96,,,,,,
,AGUA,AGUA CIELO SIN GAS 7000 ML,,6.86,S/ 9.00,,3,,,,3.00,S/20.58,,,,,,
CBC MARKET,GASEOSA,PEPSI COLA 3000ML,,S/ 7.25,S/ 9.00,,9,,,,9.00,S/65.25,,,,,,
,GASEOSA,PEPSI COLA 1500ML,,S/ 3.75,S/ 5.50,,10,,,,10.00,S/37.50,,,,,,
,GASEOSA,PEPSO COLA 2000ML,,,,,,,,,0.00,S/0.00,,,,,,
,GASEOSA,PEPSI COLA 500ML,,S/ 1.66,S/ 2.00,,16,,,1,15.00,S/24.90,,,,,,
,GASEOSA,SEVEN UP 3000ML,,S/ 6.87,S/ 8.50,,0,,,,0.00,S/0.00,,,,,,
,GASEOSA,EVERVESS GINGER ALE 1500ML,,S/ 5.00,S/ 7.00,,19,,,,19.00,S/95.00,,,,,,
,AGUA,SAN CARLOS 625ML,,S/ 0.80,S/ 1.50,,24,,,,24.00,S/19.20,,,,,,
,AGUA,SAN MATEO 600ML,,,S/ 1.50,,0,,,,0.00,S/0.00,,,,,,
,AGUA,SAN CARLOS CON GAS 625ML,,S/ 0.80,S/ 1.50,,31,,,,31.00,S/24.80,,,,,,
,AGUA,SAN CARLOS 3000ML,,S/ 2.38,S/ 4.00,,14,,,,14.00,S/33.25,,,,,,
,ENERGIZANTE,GATORADE 500 ML,,S/ 1.40,S/ 2.50,,10,,,,10.00,S/14.00,,,,,,
COMERCIALIZADORA DE BEBIDAS SAC,GASEOSA,COCA COLA 600ML,,S/ 2.75,S/ 3.00,,17,,,,17.00,S/46.75,,,,,,
,GASEOSA,COCA COLA 600ML SIN AZUCAR,,S/ 2.75,S/ 3.00,,0,,,,0.00,S/0.00,,,,,,
,GASEOSA,COCA COLA 1000ML ,,S/ 2.74,S/ 4.50,,8,,,,8.00,S/21.92,,,,,,
,GASEOSA,COCA COLA 1000ML VIDRIO,,S/ 3.26,S/ 4.50,,14,,,,14.00,S/45.64,,,,,,
,GASEOSA,COCA COLA 1500ML SIN AZUCAR ,,S/ 5.20,S/ 6.50,,16,,,,16.00,S/83.20,,,,,,
,GASEOSA,COCA COLA 2500ML ,,S/ 6.50,S/ 9.50,,16,,,,16.00,S/104.00,,,,,,
,GASEOSA,INCA COLA 600ML,,S/ 2.75,S/ 3.00,,14,,,1,13.00,S/35.75,,,,,,
,GASEOSA,INKA COLA 600ML SIN AZUCAR,,S/ 2.74,S/ 3.00,,0,,,,0.00,S/0.00,,,,,,
,GASEOSA,INKA COLA 1000ML,,S/ 2.74,S/ 4.50,,12,,,,12.00,S/32.88,,,,,,
,GASEOSA,INKA COLA 1500ML SIN AZUCAR,,S/ 5.20,S/ 6.50,,7,,,,7.00,S/36.40,,,,,,
,GASEOSA,INKA COLA 2500ML,,6.5,S/ 9.50,,10,,,,10.00,S/65.00,,,,,,
,GASEOSA,CONCORDIA ROJA 3000 ML,,1.7,S/ 9.00,,7,,,,7.00,S/11.90,,,,,,
,GASEOSA,CONCORDIA ROJA 500 ML,,1.7,S/ 2.00,,27,,,,27.00,S/45.90,,,,,,
,GASEOSA,CONCORDIA AMARILLA 500 ML,,1.7,S/ 2.00,,27,,,,27.00,S/45.90,,,,,,
,GASEOSA,FANTA 500ML,,S/ 1.25,S/ 2.20,,0,,,,0.00,S/0.00,,,,,,
,GASEOSA,FANTA 1500ML,,S/ 3.24,S/ 5.50,,0,,,,0.00,S/0.00,,,,,,
,GASEOSA,SPRITE 500ML,,S/ 1.25,S/ 2.20,,0,,,,0.00,S/0.00,,,,,,
,GASEOSA,SPRITE 1500ML,,S/ 3.24,S/ 5.00,,0,,,,0.00,S/0.00,,,,,,
,GASEOSA,CRUSH 450ML,,S/ 0.87,S/ 2.00,,0,,,,0.00,S/0.00,,,,,,
,GASEOSA,BIG COLA 350 ML,,S/ 0.89,S/ 1.20,,14,,,,14.00,S/12.46,,,,,,
,FRUGO,FUGOS DEL VALLE 1500ML,,S/ 2.53,S/ 4.00,,10,,,,10.00,S/25.30,,,,,,
